Date__(UT)__HR:MN, , , R.A._(ICRF), DEC__(ICRF),    APmag,  S-brt,             delta,     deldot,
 2023-Jul-12 00:00, , , 10 12 14.08, +12 17 23.0,    1.761,  4.522,  2.27543163303796,  9.7464186,
 2023-Jul-13 00:00, , , 10 14 33.09, +12 03 53.2,    1.751,  4.508,  2.28103306192215,  9.6500937,
 2023-Jul-14 00:00, , , 10 16 52.04, +11 50 18.6,    1.736,  4.487,  2.28657863358812,  9.5530037,
 2023-Jul-15 00:00, , , 10 19 10.93, +11 36 39.2,    1.735,  4.482,  2.29206791641613,  9.4551869,
 2023-Jul-16 00:00, , , 10 21 29.76, +11 22 55.3,    1.724,  4.467,  2.29750050516607,  9.3566956,
 2023-Jul-17 00:00, , , 10 23 48.53, +11 09 06.7,    1.722,  4.460,  2.30287602810984,  9.2575931,
 2023-Jul-18 00:00, , , 10 26 07.25, +10 55 13.7,    1.717,  4.451,  2.30819415246824,  9.1579506,
 2023-Jul-19 00:00, , , 10 28 25.92, +10 41 16.2,    1.690,  4.419,  2.31345458831096,  9.0578447,
 2023-Jul-20 00:00, , , 10 30 44.54, +10 27 14.4,    1.700,  4.425,  2.31865709102240,  8.9573554,
 2023-Jul-21 00:00, , , 10 33 03.12, +10 13 08.4,    1.696,  4.417,  2.32380146254558,  8.8565638,
 2023-Jul-22 00:00, , , 10 35 21.65, +09 58 58.2,    1.691,  4.408,  2.32888755180544,  8.7555513,
 2023-Jul-23 00:00, , , 10 37 40.14, +09 44 43.9,    1.690,  4.403,  2.33391525488073,  8.6544000,
 2023-Jul-24 00:00, , , 10 39 58.58, +09 30 25.7,    1.689,  4.398,  2.33888451555801,  8.5531932,
 2023-Jul-25 00:00, , , 10 42 17.00, +09 16 03.5,    1.691,  4.396,  2.34379532681019,  8.4520182,
 2023-Jul-26 00:00, , , 10 44 35.37, +09 01 37.5,    1.686,  4.387,  2.34864773344968,  8.3509677,
 2023-Jul-27 00:00, , , 10 46 53.72, +08 47 07.8,    1.679,  4.376,  2.35344183565647,  8.2501405,
 2023-Jul-28 00:00, , , 10 49 12.03, +08 32 34.4,    1.676,  4.370,  2.35817779222028,  8.1496400,
 2023-Jul-29 00:00, , , 10 51 30.33, +08 17 57.5,    1.684,  4.374,  2.36285582118154,  8.0495665,
 2023-Jul-30 00:00, , , 10 53 48.60, +08 03 17.1,    1.697,  4.384,  2.36747619437798,  7.9500029,
 2023-Jul-31 00:00, , , 10 56 06.86, +07 48 33.3,    1.710,  4.393,  2.37203922193359,  7.8509950,
 2023-Aug-01 00:00, , , 10 58 25.11, +07 33 46.2,    1.727,  4.406,  2.37654522412594,  7.7525289,
 2023-Aug-02 00:00, , , 11 00 43.35, +07 18 55.8,    1.735,  4.411,  2.38099449218125,  7.6545167,
 2023-Aug-03 00:00, , , 11 03 01.59, +07 04 02.3,    1.749,  4.421,  2.38538724542441,  7.5567996,
 2023-Aug-04 00:00, , , 11 05 19.85, +06 49 05.6,    1.760,  4.429,  2.38972359640263,  7.4591722,
 2023-Aug-05 00:00, , , 11 07 38.12, +06 34 05.9,    1.765,  4.430,  2.39400353429142,  7.3614192,
 2023-Aug-06 00:00, , , 11 09 56.41, +06 19 03.2,    1.773,  4.436,  2.39822692991719,  7.2633510,
 2023-Aug-07 00:00, , , 11 12 14.74, +06 03 57.5,    1.787,  4.447,  2.40239355756635,  7.1648252,
 2023-Aug-08 00:00, , , 11 14 33.10, +05 48 49.0,    1.794,  4.450,  2.40650312443230,  7.0657515,
 2023-Aug-09 00:00, , , 11 16 51.50, +05 33 37.8,    1.785,  4.438,  2.41055529935581,  6.9660855,
 2023-Aug-10 00:00, , , 11 19 09.96, +05 18 23.8,    1.782,  4.432,  2.41454973613598,  6.8658177,
 2023-Aug-11 00:00, , , 11 21 28.46, +05 03 07.1,    1.772,  4.419,  2.41848609027956,  6.7649619,
 2023-Aug-12 00:00, , , 11 23 47.03, +04 47 47.9,    1.768,  4.412,  2.42236403022143,  6.6635480,
 2023-Aug-13 00:00, , , 11 26 05.66, +04 32 26.3,    1.768,  4.409,  2.42618324478719,  6.5616162,
 2023-Aug-14 00:00, , , 11 28 24.36, +04 17 02.3,    1.789,  4.428,  2.42994344852887,  6.4592150,
 2023-Aug-15 00:00, , , 11 30 43.13, +04 01 35.9,    1.782,  4.418,  2.43364438606523,  6.3564000,
 2023-Aug-16 00:00, , , 11 33 01.98, +03 46 07.4,    1.769,  4.402,  2.43728583601902,  6.2532332,
 2023-Aug-17 00:00, , , 11 35 20.92, +03 30 36.8,    1.770,  4.400,  2.44086761472328,  6.1497831,
 2023-Aug-18 00:00, , , 11 37 39.94, +03 15 04.1,    1.785,  4.413,  2.44438957963298,  6.0461235,
 2023-Aug-19 00:00, , , 11 39 59.06, +02 59 29.6,    1.776,  4.401,  2.44785163233099,  5.9423332,
 2023-Aug-20 00:00, , , 11 42 18.27, +02 43 53.2,    1.756,  4.379,  2.45125372111536,  5.8384952,
 2023-Aug-21 00:00, , , 11 44 37.58, +02 28 15.1,    1.750,  4.371,  2.45459584332061,  5.7346964,
 2023-Aug-22 00:00, , , 11 46 57.00, +02 12 35.3,    1.737,  4.354,  2.45787804766150,  5.6310278,
 2023-Aug-23 00:00, , , 11 49 16.53, +01 56 54.1,    1.729,  4.345,  2.46110043689131,  5.5275856,
 2023-Aug-24 00:00, , , 11 51 36.18, +01 41 11.4,    1.721,  4.334,  2.46426317083996,  5.4244712,
 2023-Aug-25 00:00, , , 11 53 55.94, +01 25 27.3,    1.690,  4.302,  2.46736646935155,  5.3217907,
 2023-Aug-26 00:00, , , 11 56 15.83, +01 09 42.1,    1.692,  4.301,  2.47041061373815,  5.2196498,
 2023-Aug-27 00:00, , , 11 58 35.86, +00 53 55.7,    1.687,  4.294,  2.47339594420866,  5.1181445,
 2023-Aug-28 00:00, , , 12 00 56.02, +00 38 08.2,    1.677,  4.281,  2.47632284974310,  5.0173445,
 2023-Aug-29 00:00, , , 12 03 16.32, +00 22 19.8,    1.671,  4.274,  2.47919174696177,  4.9172721,
 2023-Aug-30 00:00, , , 12 05 36.78, +00 06 30.6,    1.666,  4.267,  2.48200304683530,  4.8178829,
 2023-Aug-31 00:00, , , 12 07 57.39, -00 09 19.5,    1.664,  4.263,  2.48475711297039,  4.7190574,
 2023-Sep-01 00:00, , , 12 10 18.17, -00 25 10.3,    1.656,  4.253,  2.48745422085396,  4.6206137,
 2023-Sep-02 00:00, , , 12 12 39.13, -00 41 01.7,    1.644,  4.239,  2.49009452988331,  4.5223380,
 2023-Sep-03 00:00, , , 12 15 00.27, -00 56 53.6,    1.637,  4.230,  2.49267807629152,  4.4240239,
 2023-Sep-04 00:00, , , 12 17 21.60, -01 12 46.1,    1.639,  4.231,  2.49520478684653,  4.3255027,
 2023-Sep-05 00:00, , , 12 19 43.13, -01 28 38.9,    1.649,  4.239,  2.49767450587084,  4.2266586,
 2023-Sep-06 00:00, , , 12 22 04.87, -01 44 32.0,    1.657,  4.245,  2.50008702581585,  4.1274265,
 2023-Sep-07 00:00, , , 12 24 26.83, -02 00 25.4,    1.670,  4.256,  2.50244211404137,  4.0277823,
 2023-Sep-08 00:00, , , 12 26 49.01, -02 16 18.8,    1.673,  4.258,  2.50473953258365,  3.9277297,
 2023-Sep-09 00:00, , , 12 29 11.42, -02 32 12.3,    1.683,  4.266,  2.50697905099802,  3.8272896,
 2023-Sep-10 00:00, , , 12 31 34.06, -02 48 05.8,    1.690,  4.272,  2.50916045402022,  3.7264928,
 2023-Sep-11 00:00, , , 12 33 56.95, -03 03 59.0,    1.691,  4.272,  2.51128354614904,  3.6253766,
 2023-Sep-12 00:00, , , 12 36 20.08, -03 19 52.0,    1.696,  4.275,  2.51334815493074,  3.5239835,
 2023-Sep-13 00:00, , , 12 38 43.47, -03 35 44.6,    1.708,  4.286,  2.51535413416890,  3.4223621,
 2023-Sep-14 00:00, , , 12 41 07.12, -03 51 36.7,    1.713,  4.289,  2.51730136771833,  3.3205680,
 2023-Sep-15 00:00, , , 12 43 31.03, -04 07 28.2,    1.701,  4.276,  2.51918977403970,  3.2186656,
 2023-Sep-16 00:00, , , 12 45 55.22, -04 23 19.0,    1.696,  4.270,  2.52101931133541,  3.1167283,
 2023-Sep-17 00:00, , , 12 48 19.68, -04 39 08.9,    1.684,  4.257,  2.52278998288143,  3.0148386,
 2023-Sep-18 00:00, , , 12 50 44.43, -04 54 57.9,    1.677,  4.249,  2.52450184212594,  2.9130876,
 2023-Sep-19 00:00, , , 12 53 09.46, -05 10 45.8,    1.674,  4.245,  2.52615499721839,  2.8115735,
 2023-Sep-20 00:00, , , 12 55 34.79, -05 26 32.5,    1.693,  4.263,  2.52774961478635,  2.7104003,
 2023-Sep-21 00:00, , , 12 58 00.42, -05 42 17.9,    1.685,  4.254,  2.52928592286660,  2.6096764,
 2023-Sep-22 00:00, , , 13 00 26.35, -05 58 01.9,    1.670,  4.238,  2.53076421278118,  2.5095120,
 2023-Sep-23 00:00, , , 13 02 52.59, -06 13 44.3,    1.668,  4.235,  2.53218483932086,  2.4100158,
 2023-Sep-24 00:00, , , 13 05 19.15, -06 29 25.1,    1.681,  4.247,  2.53354821786003,  2.3112874,
 2023-Sep-25 00:00, , , 13 07 46.03, -06 45 04.1,    1.671,  4.237,  2.53485481618717,  2.2134064,
 2023-Sep-26 00:00, , , 13 10 13.24, -07 00 41.2,    1.650,  4.215,  2.53610513841849,  2.1164161,
 2023-Sep-27 00:00, , , 13 12 40.78, -07 16 16.3,    1.642,  4.206,  2.53729969918563,  2.0203070,
 2023-Sep-28 00:00, , , 13 15 08.67, -07 31 49.3,    1.627,  4.191,  2.53843898904288,  1.9250042,
 2023-Sep-29 00:00, , , 13 17 36.92, -07 47 20.1,    1.617,  4.180,  2.53952343635923,  1.8303687,
 2023-Sep-30 00:00, , , 13 20 05.52, -08 02 48.5,    1.608,  4.171,  2.54055337469450,  1.7362155,
 2023-Oct-01 00:00, , , 13 22 34.49, -08 18 14.6,    1.578,  4.139,  2.54152902477302,  1.6423446,
 2023-Oct-02 00:00, , , 13 25 03.85, -08 33 38.1,    1.574,  4.135,  2.54245049549334,  1.5485737,
 2023-Oct-03 00:00, , , 13 27 33.58, -08 48 59.0,    1.570,  4.131,  2.54331780144368,  1.4547611,
 2023-Oct-04 00:00, , , 13 30 03.72, -09 04 17.2,    1.556,  4.117,  2.54413088941823,  1.3608140,
 2023-Oct-05 00:00, , , 13 32 34.25, -09 19 32.5,    1.549,  4.109,  2.54488966576926,  1.2666837,
 2023-Oct-06 00:00, , , 13 35 05.20, -09 34 44.8,    1.541,  4.101,  2.54559401908456,  1.1723553,
 2023-Oct-07 00:00, , , 13 37 36.56, -09 49 54.0,    1.537,  4.097,  2.54624383617022,  1.0778357,
 2023-Oct-08 00:00, , , 13 40 08.34, -10 05 00.1,    1.527,  4.086,  2.54683901188655,  0.9831446,
 2023-Oct-09 00:00, , , 13 42 40.56, -10 20 02.7,    1.513,  4.072,  2.54737945460565,  0.8883085,
 2023-Oct-10 00:00, , , 13 45 13.21, -10 35 01.9,    1.504,  4.063,  2.54786508929123,  0.7933581,
 2023-Oct-11 00:00, , , 13 47 46.30, -10 49 57.5,    1.504,  4.063,  2.54829585993094,  0.6983288,
 2023-Oct-12 00:00, , , 13 50 19.84, -11 04 49.4,    1.514,  4.073,  2.54867173260162,  0.6032622,
 2023-Oct-13 00:00, , , 13 52 53.83, -11 19 37.3,    1.520,  4.078,  2.54899269995364,  0.5082092,
 2023-Oct-14 00:00, , , 13 55 28.28, -11 34 21.3,    1.533,  4.091,  2.54925878739666,  0.4132328,
 2023-Oct-15 00:00, , , 13 58 03.19, -11 49 01.0,    1.535,  4.094,  2.54947006076836,  0.3184101,
 2023-Oct-16 00:00, , , 14 00 38.57, -12 03 36.5,    1.543,  4.102,  2.54962663481203,  0.2238333,
 2023-Oct-17 00:00, , , 14 03 14.41, -12 18 07.5,    1.551,  4.110,  2.54972868146390,  0.1296080,
 2023-Oct-18 00:00, , , 14 05 50.74, -12 32 33.9,    1.551,  4.110,  2.54977643684539,  0.0358502,
 2023-Oct-19 00:00, , , 14 08 27.54, -12 46 55.6,    1.555,  4.114,  2.54977020599070, -0.0573184,
 2023-Oct-20 00:00, , , 14 11 04.83, -13 01 12.4,    1.566,  4.125,  2.54971036462137, -0.1497756,
 2023-Oct-21 00:00, , , 14 13 42.61, -13 15 24.1,    1.571,  4.131,  2.54959735751951, -0.2414056,
 2023-Oct-22 00:00, , , 14 16 20.88, -13 29 30.6,    1.560,  4.120,  2.54943169307448, -0.3321053,
 2023-Oct-23 00:00, , , 14 18 59.64, -13 43 31.8,    1.554,  4.115,  2.54921393335494, -0.4217934,
 2023-Oct-24 00:00, , , 14 21 38.91, -13 57 27.6,    1.542,  4.102,  2.54894467880194, -0.5104202,
 2023-Oct-25 00:00, , , 14 24 18.69, -14 11 17.7,    1.534,  4.095,  2.54862454679115, -0.5979784,
 2023-Oct-26 00:00, , , 14 26 58.97, -14 25 02.0,    1.529,  4.091,  2.54825414437154, -0.6845121,
 2023-Oct-27 00:00, , , 14 29 39.78, -14 38 40.5,    1.547,  4.109,  2.54783403759730, -0.7701188,
 2023-Oct-28 00:00, , , 14 32 21.11, -14 52 13.0,    1.542,  4.105,  2.54736472235788, -0.8549417,
 2023-Oct-29 00:00, , , 14 35 02.97, -15 05 39.3,    1.525,  4.089,  2.54684660296944, -0.9391510,
 2023-Oct-30 00:00, , , 14 37 45.37, -15 18 59.3,    1.520,  4.084,  2.54627998358901, -1.0229190,
 2023-Oct-31 00:00, , , 14 40 28.31, -15 32 12.9,    1.531,  4.095,  2.54566507379042, -1.1063976,
 2023-Nov-01 00:00, , , 14 43 11.80, -15 45 19.9,    1.523,  4.088,  2.54500200527882, -1.1897031,
 2023-Nov-02 00:00, , , 14 45 55.84, -15 58 20.2,    1.500,  4.066,  2.54429085405623, -1.2729122,
 2023-Nov-03 00:00, , , 14 48 40.44, -16 11 13.6,    1.488,  4.055,  2.54353166236335, -1.3560662,
 2023-Nov-04 00:00, , , 14 51 25.61, -16 24 00.1,    1.473,  4.041,  2.54272445664984, -1.4391801,
 2023-Nov-05 00:00, , , 14 54 11.34, -16 36 39.4,    1.459,  4.028,  2.54186926020494, -1.5222514,
 2023-Nov-06 00:00, , , 14 56 57.64, -16 49 11.4,    1.449,  4.018,  2.54096610088641, -1.6052677,
 2023-Nov-07 00:00, , , 14 59 44.52, -17 01 35.9,    1.419,  3.989,  2.54001501534101, -1.6882116,
 2023-Nov-08 00:00, , , 15 02 31.97, -17 13 52.8,    1.405,  3.976,  2.53901605140641, -1.7710618,
 2023-Nov-09 00:00, , , 15 05 20.00, -17 26 02.0,    1.404,  3.977,  2.53796927031660, -1.8537928,
 2023-Nov-10 00:00, , , 15 08 08.61, -17 38 03.2,    1.385,  3.958,  2.53687475009611, -1.9363712,
 2023-Nov-11 00:00, , , 15 10 57.80, -17 49 56.3,    1.376,  3.950,  2.53573259118366, -2.0187520,
 2023-Nov-12 00:00, , , 15 13 47.57, -18 01 41.1,    1.364,  3.939,  2.53454292483530, -2.1008728,
 2023-Nov-13 00:00, , , 15 16 37.92, -18 13 17.5,    1.357,  3.933,  2.53330592416906, -2.1826505,
 2023-Nov-14 00:00, , , 15 19 28.86, -18 24 45.3,    1.345,  3.923,  2.53202181684896, -2.2639793,
 2023-Nov-15 00:00, , , 15 22 20.37, -18 36 04.3,    1.326,  3.905,  2.53069089754883, -2.3447338,
 2023-Nov-16 00:00, , , 15 25 12.47, -18 47 14.4,    1.313,  3.893,  2.52931353780516, -2.4247747,
 2023-Nov-17 00:00, , , 15 28 05.14, -18 58 15.4,    1.306,  3.887,  2.52789019097223, -2.5039597,
 2023-Nov-18 00:00, , , 15 30 58.40, -19 09 07.2,    1.313,  3.896,  2.52642139078846, -2.5821548,
 2023-Nov-19 00:00, , , 15 33 52.22, -19 19 49.5,    1.319,  3.903,  2.52490774324552, -2.6592454,
 2023-Nov-20 00:00, , , 15 36 46.62, -19 30 22.3,    1.337,  3.922,  2.52334991251187, -2.7351461,
 2023-Nov-21 00:00, , , 15 39 41.60, -19 40 45.3,    1.344,  3.930,  2.52174860222465, -2.8098066,
 2023-Nov-22 00:00, , , 15 42 37.15, -19 50 58.5,    1.355,  3.943,  2.52010453353809, -2.8832170,
 2023-Nov-23 00:00, , , 15 45 33.27, -20 01 01.6,    1.367,  3.957,  2.51841842125421, -2.9554094,
 2023-Nov-24 00:00, , , 15 48 29.96, -20 10 54.5,    1.372,  3.963,  2.51669094956524, -3.0264572,
 2023-Nov-25 00:00, , , 15 51 27.22, -20 20 37.1,    1.379,  3.971,  2.51492274952031, -3.0964698,
 2023-Nov-26 00:00, , , 15 54 25.05, -20 30 09.2,    1.393,  3.986,  2.51311438095089, -3.1655822,
 2023-Nov-27 00:00, , , 15 57 23.46, -20 39 30.7,    1.404,  3.999,  2.51126632161578, -3.2339409,
 2023-Nov-28 00:00, , , 16 00 22.43, -20 48 41.4,    1.398,  3.995,  2.50937896528858, -3.3016877,
 2023-Nov-29 00:00, , , 16 03 21.97, -20 57 41.1,    1.396,  3.994,  2.50745262857638, -3.3689462,
 2023-Nov-30 00:00, , , 16 06 22.08, -21 06 29.9,    1.388,  3.988,  2.50548756423817, -3.4358130,
 2023-Dec-01 00:00, , , 16 09 22.75, -21 15 07.4,    1.383,  3.985,  2.50348397758415, -3.5023559,
 2023-Dec-02 00:00, , , 16 12 23.98, -21 23 33.5,    1.380,  3.984,  2.50144204258426, -3.5686165,
 2023-Dec-03 00:00, , , 16 15 25.77, -21 31 48.2,    1.398,  4.004,  2.49936191531467, -3.6346161,
 2023-Dec-04 00:00, , , 16 18 28.12, -21 39 51.2,    1.404,  4.011,  2.49724374370677, -3.7003627,
 2023-Dec-05 00:00, , , 16 21 31.01, -21 47 42.4,    1.392,  4.000,  2.49508767372212, -3.7658560,
 2023-Dec-06 00:00, , , 16 24 34.45, -21 55 21.6,    1.388,  3.999,  2.49289385284642, -3.8310914,
 2023-Dec-07 00:00, , , 16 27 38.43, -22 02 48.7,    1.402,  4.015,  2.49066243220854, -3.8960609,
 2023-Dec-08 00:00, , , 16 30 42.94, -22 10 03.6,    1.408,  4.022,  2.48839356881090, -3.9607516,
 2023-Dec-09 00:00, , , 16 33 47.98, -22 17 06.1,    1.393,  4.009,  2.48608742939405, -4.0251418,
 2023-Dec-10 00:00, , , 16 36 53.54, -22 23 56.0,    1.385,  4.003,  2.48374419733815, -4.0891944,
 2023-Dec-11 00:00, , , 16 39 59.60, -22 30 33.3,    1.381,  4.002,  2.48136408359559, -4.1528497,
 2023-Dec-12 00:00, , , 16 43 06.17, -22 36 57.8,    1.373,  3.995,  2.47894734176370, -4.2160190,
 2023-Dec-13 00:00, , , 16 46 13.23, -22 43 09.3,    1.373,  3.997,  2.47649428596532, -4.2785814,
 2023-Dec-14 00:00, , , 16 49 20.77, -22 49 07.7,    1.358,  3.984,  2.47400530847337, -4.3403884,
 2023-Dec-15 00:00, , , 16 52 28.78, -22 54 52.8,    1.340,  3.968,  2.47148089273299, -4.4012755,
 2023-Dec-16 00:00, , , 16 55 37.25, -23 00 24.6,    1.359,  3.990,  2.46892161753568, -4.4610804,
 2023-Dec-17 00:00, , , 16 58 46.17, -23 05 42.9,    1.345,  3.977,  2.46632815001267, -4.5196626,
 2023-Dec-18 00:00, , , 17 01 55.52, -23 10 47.7,    1.347,  3.982,  2.46370122816281, -4.5769191,
 2023-Dec-19 00:00, , , 17 05 05.31, -23 15 38.7,    1.345,  3.982,  2.46104163631663, -4.6327931,
 2023-Dec-20 00:00, , , 17 08 15.51, -23 20 15.8,    1.348,  3.987,  2.45835017801703, -4.6872746,
 2023-Dec-21 00:00, , , 17 11 26.12, -23 24 39.1,    1.349,  3.991,  2.45562765014928, -4.7403956,
 2023-Dec-22 00:00, , , 17 14 37.13, -23 28 48.3,    1.341,  3.984,  2.45287482063485, -4.7922231,
 2023-Dec-23 00:00, , , 17 17 48.53, -23 32 43.3,    1.338,  3.983,  2.45009241063102, -4.8428507,
 2023-Dec-24 00:00, , , 17 21 00.30, -23 36 24.1,    1.339,  3.987,  2.44728108146588, -4.8923906,
 2023-Dec-25 00:00, , , 17 24 12.45, -23 39 50.6,    1.355,  4.005,  2.44444142640168, -4.9409647,
 2023-Dec-26 00:00, , , 17 27 24.95, -23 43 02.7,    1.364,  4.017,  2.44157396735585, -4.9886967,
